# clip DEBUG, audit live (base 4a3bc66c, rowlive 30adfd8a, rowlive2 7c29c6b0, rowlive3 a65ea387, sweeponly 6fca468d, rowlive_nosweep = rowlive with PageCache_LiveSweep stubbed)
tag            leg        crc          motion    before     after      band       cam_end DM_end  Seq/tick  Seq/call calls/t
base_sa        diag       41401ef1     25/126         -         -     25/81  [1712, 1728]                                   
rowlive_sa     fly        204365bc       3/44         -         -         -    [752, 144]                                   
rowlive_sa     down       204365bc      2/365         -         -         -    [96, 5920]      0                            
rowlive_sa     diag       204365bc     25/126         -         -     23/79  [1712, 1728]                                   
rowlive2_sa    fly        4ded68d3       3/44         -         -         -    [752, 144]      0                            
rowlive2_sa    down       4ded68d3      2/365         -         -         -    [96, 5920]      0                            
rowlive2_sa    diag       4ded68d3     21/122         -         -     21/77  [1712, 1728]      0                            
tag            leg        crc          motion    before     after      band       cam_end DM_end  Seq/tick  Seq/call calls/t
rowlive_se     fly        61c31bb5      2/360         -         -         -   [5824, 144]      0                            
rowlive_se     down       61c31bb5      2/365         -         -         -    [96, 5920]      0                            
rowlive_se     diag       61c31bb5     72/436         -         -     16/72  [5824, 5920]      0                            
