sample_rel,ch,fnum,block,mask,midi,freq
2964174,3,861,0,15,29.015,43.69
2964211,4,1149,2,15,58.01,233.22
2964441,5,1290,2,15,60.014,261.84
2964505,6,1290,2,15,60.014,261.84
2969306,2,1290,0,15,36.014,65.46
2969372,4,1024,2,15,56.016,207.85
2969639,5,1290,2,15,60.014,261.84
2969684,6,1290,2,15,60.014,261.84
2974499,1,1290,0,15,36.014,65.46
2974557,2,512,0,15,20.016,25.98
2974598,3,767,0,15,27.013,38.92
2974847,5,1290,2,15,60.014,261.84
2974912,6,1290,1,15,48.014,130.92
2979750,4,1290,1,15,48.014,130.92
2980038,5,1290,2,15,60.014,261.84
2980102,6,1290,2,15,60.014,261.84
2984902,1,645,0,15,24.014,32.73
2984961,2,1290,0,15,36.014,65.46
2985002,3,812,0,15,28.0,41.2
2985039,4,1290,2,15,60.014,261.84
2985234,5,1290,2,15,60.014,261.84
2985298,6,1290,1,15,48.014,130.92
2990156,4,1367,2,15,61.018,277.47
2990433,5,1290,2,15,60.014,261.84
2990497,6,1290,1,15,48.014,130.92
2995293,1,1290,0,15,36.014,65.46
2995327,2,1290,0,15,36.014,65.46
2995368,3,724,0,15,26.014,36.74
2995631,5,1290,2,15,60.014,261.84
2995669,6,1290,2,15,60.014,261.84
3000547,4,1722,1,15,53.015,174.76
3000829,5,1290,2,15,60.014,261.84
3000893,6,1290,2,15,60.014,261.84
3005695,1,645,0,15,24.014,32.73
3005729,2,1290,0,15,36.014,65.46
3005770,3,767,0,15,27.013,38.92
3005815,4,1534,2,15,63.013,311.36
3006028,5,1290,2,15,60.014,261.84
3006066,6,1290,2,15,60.014,261.84
3010959,4,1367,2,15,61.018,277.47
3011226,5,1290,2,15,60.014,261.84
3011290,6,1290,2,15,60.014,261.84
3016092,1,1290,0,15,36.014,65.46
3016160,2,512,0,15,20.016,25.98
3016201,3,683,0,15,25.005,34.66
3016424,5,1290,2,15,60.014,261.84
3016488,6,1290,1,15,48.014,130.92
3021344,4,1149,2,15,58.01,233.22
3021622,5,1290,2,15,60.014,261.84
3021686,6,1290,2,15,60.014,261.84
3024593,5,1290,2,15,60.014,261.84
3026494,1,645,0,15,24.014,32.73
3026553,2,1290,0,15,36.014,65.46
3026594,3,912,0,15,30.011,46.28
3026631,4,1367,1,15,49.018,138.73
3026821,5,1290,2,15,60.014,261.84
3026885,6,1290,2,15,60.014,261.84
3031743,4,1290,2,15,60.014,261.84
3032019,5,1290,2,15,60.014,261.84
3032083,6,1290,1,15,48.014,130.92
3036879,1,1290,0,15,36.014,65.46
3036913,2,1290,0,15,36.014,65.46
3036954,3,645,0,15,24.014,32.73
3036990,4,1290,1,15,48.014,130.92
3037218,5,1290,2,15,60.014,261.84
3037281,6,1290,2,15,60.014,261.84
3042134,4,1290,2,15,60.014,261.84
3042416,5,1290,2,15,60.014,261.84
3042480,6,1290,1,15,48.014,130.92
3047282,1,645,0,15,24.014,32.73
3047348,3,861,0,15,29.015,43.69
3047384,4,1149,2,15,58.01,233.22
3047614,5,1290,2,15,60.014,261.84
3047678,6,1290,2,15,60.014,261.84
3052479,2,1290,0,15,36.014,65.46
3052545,4,1024,2,15,56.016,207.85
3052813,5,1290,2,15,60.014,261.84
3052851,6,1290,2,15,60.014,261.84
3057672,1,1290,0,15,36.014,65.46
3057730,2,512,0,15,20.016,25.98
3057772,3,767,0,15,27.013,38.92
3058011,5,1290,2,15,60.014,261.84
3058075,6,1290,1,15,48.014,130.92
3062923,4,1290,1,15,48.014,130.92
3063209,5,1290,2,15,60.014,261.84
3063291,6,1290,2,15,60.014,261.84
3068075,1,645,0,15,24.014,32.73
3068134,2,1290,0,15,36.014,65.46
3068176,3,812,0,15,28.0,41.2
3068212,4,1290,2,15,60.014,261.84
3068418,5,1290,2,15,60.014,261.84
3068484,6,1290,1,15,48.014,130.92
3073330,4,1367,2,15,61.018,277.47
3073606,5,1290,2,15,60.014,261.84
3073670,6,1290,1,15,48.014,130.92
3078466,1,1290,0,15,36.014,65.46
3078499,2,1290,0,15,36.014,65.46
3078541,3,724,0,15,26.014,36.74
3078804,5,1290,2,15,60.014,261.84
3078842,6,1290,2,15,60.014,261.84
3083720,4,1722,1,15,53.015,174.76
3084002,5,1290,2,15,60.014,261.84
3084066,6,1290,1,15,48.014,130.92
3088868,1,645,0,15,24.014,32.73
3088902,2,1290,0,15,36.014,65.46
3088943,3,767,0,15,27.013,38.92
3088980,4,1534,2,15,63.013,311.36
3089201,5,1290,2,15,60.014,261.84
3089239,6,1290,2,15,60.014,261.84
3094123,4,1367,2,15,61.018,277.47
3094399,5,1290,2,15,60.014,261.84
3094463,6,1290,2,15,60.014,261.84
3099259,1,1290,0,15,36.014,65.46
3099317,2,512,0,15,20.016,25.98
3099368,3,683,0,15,25.005,34.66
3099597,5,1290,2,15,60.014,261.84
3099661,6,1290,1,15,48.014,130.92
3104520,4,1149,2,15,58.01,233.22
3104796,5,1290,2,15,60.014,261.84
3104860,6,1290,2,15,60.014,261.84
3109676,1,645,0,15,24.014,32.73
3109739,2,1290,0,15,36.014,65.46
3109781,3,912,0,15,30.011,46.28
